customer_id,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment
2195.0,14,3,523.79,5,3,2,10,Loyal
2196.0,2,10,4059.96,5,5,5,15,VIP Champions
2197.0,77,4,2231.4,4,4,5,13,VIP Champions
2198.0,38,1,458.02,5,1,2,8,Potential
2199.0,95,1,347.16,4,1,2,7,Potential
2200.0,223,5,1998.45,2,5,5,12,Loyal
2201.0,258,2,172.52,2,2,1,5,At Risk
2202.0,238,3,1708.3400000000001,2,3,5,10,Loyal
2203.0,158,3,925.97,3,3,3,9,Potential
2204.0,5,1,166.27,5,1,1,7,Potential
2205.0,337,3,1127.92,1,3,4,8,Potential
2206.0,202,5,628.34,3,5,2,10,Loyal
2207.0,46,3,939.4599999999999,5,3,3,11,Loyal
2208.0,108,6,2265.19,4,5,5,14,VIP Champions
2209.0,202,3,995.6400000000001,3,3,4,10,Loyal
2210.0,93,2,723.3299999999999,4,2,3,9,Potential
2211.0,293,3,760.31,2,3,3,8,Potential
2212.0,571,3,918.91,1,3,3,7,Potential
2213.0,165,3,1046.18,3,3,4,10,Loyal
2214.0,706,1,574.44,1,1,2,4,At Risk
2215.0,33,6,1537.23,5,5,5,15,VIP Champions
2216.0,350,2,341.6,1,2,1,4,At Risk
2217.0,206,5,1171.04,2,5,4,11,Loyal
2218.0,69,4,1374.1,4,4,4,12,Loyal
2219.0,144,1,181.11,3,1,1,5,At Risk
2220.0,92,3,722.73,4,3,3,10,Loyal
2221.0,6,64,21313.81,5,5,5,15,VIP Champions
2222.0,79,6,1309.96,4,5,4,13,VIP Champions
2223.0,585,3,784.34,1,3,3,7,Potential
2225.0,28,5,1044.45,5,5,4,14,VIP Champions
2226.0,182,4,702.0,3,4,3,10,Loyal
2227.0,100,4,1040.72,4,4,4,12,Loyal
2228.0,117,4,737.26,4,4,3,11,Loyal
2229.0,45,1,592.8,5,1,2,8,Potential
2230.0,496,4,814.97,1,4,3,8,Potential
2231.0,158,3,1071.04,3,3,4,10,Loyal
2232.0,490,1,166.27,1,1,1,3,Lost
2233.0,87,1,989.97,4,1,4,9,Potential
2235.0,82,4,988.37,4,4,4,12,Loyal
2236.0,192,2,235.49,3,2,1,6,At Risk
2238.0,61,2,447.65999999999997,5,2,2,9,Potential
2239.0,102,1,184.07,4,1,1,6,At Risk
2240.0,23,6,1603.35,5,5,5,15,VIP Champions
2241.0,259,3,612.84,2,3,2,7,Potential
2242.0,25,5,1695.49,5,5,5,15,VIP Champions
2243.0,237,3,1078.13,2,3,4,9,Potential
2244.0,31,4,852.81,5,4,3,12,Loyal
2245.0,103,5,1724.15,4,5,5,14,VIP Champions
2246.0,39,2,126.08000000000001,5,2,1,8,Potential
2247.0,192,3,1006.4100000000001,3,3,4,10,Loyal
2248.0,560,3,1829.2,1,3,5,9,Potential
2249.0,74,2,582.76,4,2,2,8,Potential
2250.0,332,2,269.53999999999996,1,2,1,4,At Risk
2251.0,220,3,718.16,2,3,3,8,Potential
2252.0,61,4,1381.27,5,4,4,13,VIP Champions
2253.0,454,1,307.24,1,1,1,3,Lost
2254.0,499,1,848.85,1,1,3,5,At Risk
2255.0,93,3,577.66,4,3,2,9,Potential
2256.0,170,5,2433.85,3,5,5,13,VIP Champions
2257.0,91,7,2165.37,4,5,5,14,VIP Champions
2258.0,117,1,15.09,4,1,1,6,At Risk
2259.0,293,3,646.35,2,3,3,8,Potential
2260.0,112,2,317.53000000000003,4,2,1,7,Potential
2261.0,40,3,887.48,5,3,3,11,Loyal
2262.0,746,1,304.14,1,1,1,3,Lost
2264.0,64,5,528.28,4,5,2,11,Loyal
2265.0,388,4,1683.88,1,4,5,10,Loyal
2266.0,221,2,371.47,2,2,2,6,At Risk
2267.0,185,3,1240.48,3,3,4,10,Loyal
2269.0,24,2,381.59999999999997,5,2,2,9,Potential
2270.0,80,7,2488.45,4,5,5,14,VIP Champions
2271.0,9,1,231.13,5,1,1,7,Potential
2272.0,22,7,1574.51,5,5,5,15,VIP Champions
2273.0,590,1,541.98,1,1,2,4,At Risk
2274.0,143,3,417.47,3,3,2,8,Potential
2275.0,66,3,858.98,4,3,3,10,Loyal
2276.0,347,2,693.0,1,2,3,6,At Risk
2277.0,321,3,1016.62,2,3,4,9,Potential
2279.0,10,5,2683.8599999999997,5,5,5,15,VIP Champions
2281.0,95,5,1148.76,4,5,4,13,VIP Champions
2282.0,79,3,732.34,4,3,3,10,Loyal
2284.0,636,1,210.36,1,1,1,3,Lost
2285.0,45,5,2925.69,5,5,5,15,VIP Champions
2286.0,68,1,727.29,4,1,3,8,Potential
2287.0,255,3,177.58,2,3,1,6,At Risk
2288.0,45,2,2015.75,5,2,5,12,Loyal
2289.0,224,2,562.2,2,2,2,6,At Risk
2290.0,53,4,536.4,5,4,2,11,Loyal
2291.0,318,2,986.24,2,2,4,8,Potential
2292.0,95,1,86.14,4,1,1,6,At Risk
2293.0,263,1,417.66,2,1,2,5,At Risk
2294.0,146,3,1158.1299999999999,3,3,4,10,Loyal
2295.0,228,3,889.21,2,3,3,8,Potential
2296.0,27,3,1432.91,5,3,5,13,VIP Champions
2297.0,80,3,556.09,4,3,2,9,Potential
2298.0,92,4,636.19,4,4,3,11,Loyal
2299.0,340,5,2115.43,1,5,5,11,Loyal
2300.0,107,3,689.77,4,3,3,10,Loyal
2301.0,37,3,657.58,5,3,3,11,Loyal
2302.0,61,5,2127.16,5,5,5,15,VIP Champions
2303.0,88,3,1795.17,4,3,5,12,Loyal
2304.0,87,4,1160.54,4,4,4,12,Loyal
2305.0,454,2,724.08,1,2,3,6,At Risk
2306.0,401,2,574.12,1,2,2,5,At Risk
2307.0,183,2,616.51,3,2,2,7,Potential
2308.0,471,1,269.85,1,1,1,3,Lost
2309.0,564,1,67.75,1,1,1,3,Lost
2310.0,499,1,153.11,1,1,1,3,Lost
2311.0,408,3,741.72,1,3,3,7,Potential
2312.0,203,4,997.5799999999999,3,4,4,11,Loyal
2313.0,38,1,1129.05,5,1,4,10,Loyal
2315.0,66,2,229.17000000000002,4,2,1,7,Potential
2317.0,342,5,2142.56,1,5,5,11,Loyal
2318.0,29,11,3148.8,5,5,5,15,VIP Champions
2319.0,282,1,201.14,2,1,1,4,At Risk
2323.0,6,1,385.32,5,1,2,8,Potential
2324.0,167,3,949.1399999999999,3,3,3,9,Potential
2326.0,71,3,951.23,4,3,3,10,Loyal
2327.0,288,4,2282.28,2,4,5,11,Loyal
2328.0,27,2,420.52,5,2,2,9,Potential
2329.0,2,1,198.29,5,1,1,7,Potential
2330.0,144,5,1426.6,3,5,5,13,VIP Champions
2331.0,10,6,1215.71,5,5,4,14,VIP Champions
2332.0,64,3,1278.22,4,3,4,11,Loyal
2333.0,21,2,1732.25,5,2,5,12,Loyal
2334.0,8,1,318.5,5,1,1,7,Potential
2335.0,83,5,1602.8700000000001,4,5,5,14,VIP Champions
2336.0,110,2,861.12,4,2,3,9,Potential
2337.0,142,5,1569.08,3,5,5,13,VIP Champions
2338.0,481,2,368.82,1,2,2,5,At Risk
2339.0,513,2,661.17,1,2,3,6,At Risk
2341.0,154,1,94.76,3,1,1,5,At Risk
2342.0,251,3,880.46,2,3,3,8,Potential
2343.0,68,7,3118.4500000000003,4,5,5,14,VIP Champions
2344.0,565,3,620.4300000000001,1,3,2,6,At Risk
2346.0,116,4,754.0,4,4,3,11,Loyal
2347.0,115,4,610.02,4,4,2,10,Loyal
2348.0,10,3,1432.38,5,3,5,13,VIP Champions
2349.0,11,5,1932.51,5,5,5,15,VIP Champions
2350.0,173,3,532.15,3,3,2,8,Potential
2351.0,4,4,1632.3,5,4,5,14,VIP Champions
2353.0,249,4,697.72,2,4,3,9,Potential
2354.0,94,1,328.86,4,1,1,6,At Risk
2355.0,266,4,1556.09,2,4,5,11,Loyal
2356.0,334,2,1273.31,1,2,4,7,Potential
2357.0,339,2,330.24,1,2,1,4,At Risk
2358.0,145,1,154.71,3,1,1,5,At Risk
2359.0,229,3,776.53,2,3,3,8,Potential
2360.0,222,3,720.85,2,3,3,8,Potential
2362.0,199,2,478.46999999999997,3,2,2,7,Potential
2363.0,44,5,1857.31,5,5,5,15,VIP Champions
2365.0,136,3,733.0899999999999,3,3,3,9,Potential
2366.0,20,4,422.29999999999995,5,4,2,11,Loyal
2367.0,549,1,520.86,1,1,2,4,At Risk
2368.0,214,3,1070.57,2,3,4,9,Potential
2369.0,148,3,756.3,3,3,3,9,Potential
2370.0,314,3,742.4100000000001,2,3,3,8,Potential
2371.0,30,4,1542.46,5,4,5,14,VIP Champions
2372.0,767,1,421.52,1,1,2,4,At Risk
2373.0,212,4,904.22,2,4,3,9,Potential
2374.0,25,2,249.3,5,2,1,8,Potential
2375.0,192,3,883.77,3,3,3,9,Potential
2377.0,559,3,568.51,1,3,2,6,At Risk
2378.0,25,2,397.3,5,2,2,9,Potential
2379.0,241,3,1171.6399999999999,2,3,4,9,Potential
2380.0,91,6,1516.83,4,5,5,14,VIP Champions
2381.0,231,3,1391.22,2,3,4,9,Potential
2382.0,76,3,740.83,4,3,3,10,Loyal
2383.0,4,1,310.9,5,1,1,7,Potential
2386.0,321,3,515.5899999999999,2,3,2,7,Potential
2387.0,75,3,1422.89,4,3,4,11,Loyal
2388.0,224,2,1098.67,2,2,4,8,Potential
2389.0,131,2,361.25,3,2,2,7,Potential
2390.0,94,5,1336.33,4,5,4,13,VIP Champions
2392.0,369,2,475.53999999999996,1,2,2,5,At Risk
2393.0,183,1,437.68,3,1,2,6,At Risk
2394.0,9,4,1319.6699999999998,5,4,4,13,VIP Champions
2395.0,662,1,72.6,1,1,1,3,Lost
2396.0,24,6,1899.01,5,5,5,15,VIP Champions
2397.0,232,4,2847.6800000000003,2,4,5,11,Loyal
2398.0,173,1,459.76,3,1,2,6,At Risk
2399.0,348,1,209.05,1,1,1,3,Lost
2400.0,723,2,1034.9099999999999,1,2,4,7,Potential
2401.0,67,2,731.37,4,2,3,9,Potential
2402.0,344,3,1121.33,1,3,4,8,Potential
2403.0,83,3,1021.44,4,3,4,11,Loyal
2404.0,60,4,912.02,5,4,3,12,Loyal
2405.0,533,3,408.0,1,3,2,6,At Risk
2406.0,127,1,482.26,3,1,2,6,At Risk
2407.0,156,3,834.55,3,3,3,9,Potential
2409.0,56,4,810.53,5,4,3,12,Loyal
2410.0,15,3,374.72,5,3,2,10,Loyal
2411.0,92,1,221.19,4,1,1,6,At Risk
2412.0,242,1,50.85,2,1,1,4,At Risk
2413.0,127,3,338.6,3,3,1,7,Potential
2414.0,24,2,405.96,5,2,2,9,Potential
2415.0,12,1,251.96,5,1,1,7,Potential
2416.0,369,3,407.07,1,3,2,6,At Risk
2417.0,159,3,626.9399999999999,3,3,2,8,Potential
2418.0,218,3,795.5400000000001,2,3,3,8,Potential
2419.0,367,2,177.6,1,2,1,4,At Risk
2420.0,144,4,1671.24,3,4,5,12,Loyal
2422.0,298,5,759.27,2,5,3,10,Loyal
2423.0,209,7,1475.29,2,5,5,12,Loyal
2424.0,152,3,900.62,3,3,3,9,Potential
2425.0,161,4,1834.12,3,4,5,12,Loyal
2427.0,297,3,940.88,2,3,3,8,Potential
2428.0,85,1,405.14,4,1,2,7,Potential
2429.0,102,4,850.8299999999999,4,4,3,11,Loyal
2430.0,191,2,590.73,3,2,2,7,Potential
2431.0,200,3,845.0799999999999,3,3,3,9,Potential
2432.0,36,3,797.23,5,3,3,11,Loyal
2433.0,340,2,261.84000000000003,1,2,1,4,At Risk
2434.0,21,4,849.14,5,4,3,12,Loyal
2435.0,77,5,755.3499999999999,4,5,3,12,Loyal
2436.0,194,3,1025.57,3,3,4,10,Loyal
2439.0,7,4,540.62,5,4,2,11,Loyal
2440.0,484,3,645.47,1,3,3,7,Potential
2441.0,340,3,1634.1200000000001,1,3,5,9,Potential
2442.0,42,2,1423.93,5,2,4,11,Loyal
2443.0,132,3,1437.3000000000002,3,3,5,11,Loyal
2445.0,88,1,307.27,4,1,1,6,At Risk
2446.0,586,1,54.95,1,1,1,3,Lost
2448.0,553,1,542.7,1,1,2,4,At Risk
2449.0,356,2,725.58,1,2,3,6,At Risk
2450.0,174,2,1057.95,3,2,4,9,Potential
2451.0,15,2,1317.1799999999998,5,2,4,11,Loyal
2454.0,244,2,385.65,2,2,2,6,At Risk
2456.0,50,5,2096.27,5,5,5,15,VIP Champions
2457.0,240,6,1147.49,2,5,4,11,Loyal
2458.0,168,3,464.15999999999997,3,3,2,8,Potential
2459.0,56,1,53.24,5,1,1,7,Potential
2460.0,62,3,530.46,4,3,2,9,Potential
2461.0,312,3,1217.47,2,3,4,9,Potential
2462.0,502,3,642.23,1,3,3,7,Potential
2463.0,206,5,1580.6100000000001,2,5,5,12,Loyal
2464.0,60,3,626.3,5,3,2,10,Loyal
2466.0,330,1,104.08,1,1,1,3,Lost
2468.0,161,1,53.01,3,1,1,5,At Risk
2469.0,184,6,2130.7400000000002,3,5,5,13,VIP Champions
2471.0,151,2,806.5,3,2,3,8,Potential
2472.0,68,3,650.55,4,3,3,10,Loyal
2474.0,71,3,485.98,4,3,2,9,Potential
2475.0,238,4,1341.42,2,4,4,10,Loyal
2476.0,476,1,62.56,1,1,1,3,Lost
2477.0,200,1,654.14,3,1,3,7,Potential
2479.0,185,4,489.48,3,4,2,9,Potential
2481.0,219,4,1256.58,2,4,4,10,Loyal
2482.0,156,2,541.07,3,2,2,7,Potential
2483.0,185,2,553.04,3,2,2,7,Potential
2484.0,129,4,1662.94,3,4,5,12,Loyal
2485.0,75,5,955.93,4,5,3,12,Loyal
2486.0,9,6,1594.74,5,5,5,15,VIP Champions
2487.0,16,5,1205.61,5,5,4,14,VIP Champions
2488.0,186,1,723.39,3,1,3,7,Potential
2489.0,220,2,222.07,2,2,1,5,At Risk
2490.0,147,3,1880.98,3,3,5,11,Loyal
2491.0,131,3,511.55,3,3,2,8,Potential
2492.0,152,2,632.6700000000001,3,2,3,8,Potential
2493.0,388,2,720.3,1,2,3,6,At Risk
2494.0,133,5,1107.18,3,5,4,12,Loyal
2495.0,7,25,5684.81,5,5,5,15,VIP Champions
2496.0,529,1,269.85,1,1,1,3,Lost
2497.0,239,1,124.35,2,1,1,4,At Risk
2498.0,320,3,1587.8999999999999,2,3,5,10,Loyal
2500.0,200,5,2226.05,3,5,5,13,VIP Champions
2501.0,15,1,581.1,5,1,2,8,Potential
2503.0,487,4,2000.92,1,4,5,10,Loyal
2504.0,441,5,796.61,1,5,3,9,Potential
2505.0,64,1,29.48,4,1,1,6,At Risk
2506.0,164,1,134.58,3,1,1,5,At Risk
2509.0,68,3,1179.84,4,3,4,11,Loyal
2510.0,193,4,308.45,3,4,1,8,Potential
2511.0,158,4,801.99,3,4,3,10,Loyal
2513.0,65,6,1513.26,4,5,5,14,VIP Champions
2514.0,10,3,1122.08,5,3,4,12,Loyal
2515.0,69,3,899.3299999999999,4,3,3,10,Loyal
2516.0,208,1,254.76,2,1,1,4,At Risk
2517.0,38,2,164.07,5,2,1,8,Potential
2518.0,622,3,297.8,1,3,1,5,At Risk
2519.0,103,4,1300.29,4,4,4,12,Loyal
2520.0,458,1,81.48,1,1,1,3,Lost
2521.0,56,2,316.69,5,2,1,8,Potential
2522.0,32,3,1264.56,5,3,4,12,Loyal
2523.0,88,1,234.1,4,1,1,6,At Risk
2524.0,268,4,868.85,2,4,3,9,Potential
2526.0,224,2,857.97,2,2,3,7,Potential
2528.0,318,1,136.3,2,1,1,4,At Risk
2529.0,162,3,996.3699999999999,3,3,4,10,Loyal
2530.0,125,5,1473.03,3,5,5,13,VIP Champions
2533.0,409,4,923.7900000000001,1,4,3,8,Potential
2534.0,266,4,850.0,2,4,3,9,Potential
2535.0,96,5,741.12,4,5,3,12,Loyal
2536.0,90,4,1202.21,4,4,4,12,Loyal
2537.0,247,2,683.55,2,2,3,7,Potential
2538.0,9,4,1888.48,5,4,5,14,VIP Champions
2539.0,77,3,1034.97,4,3,4,11,Loyal
2540.0,431,1,347.84,1,1,2,4,At Risk
2542.0,190,3,1523.18,3,3,5,11,Loyal
2543.0,439,2,458.26000000000005,1,2,2,5,At Risk
2544.0,10,2,635.51,5,2,3,10,Loyal
2545.0,36,2,670.14,5,2,3,10,Loyal
2546.0,585,4,1717.25,1,4,5,10,Loyal
2547.0,636,2,471.65000000000003,1,2,2,5,At Risk
2548.0,300,4,722.23,2,4,3,9,Potential
2549.0,122,6,1295.54,4,5,4,13,VIP Champions
2551.0,66,4,1034.58,4,4,4,12,Loyal
2552.0,268,4,1359.9499999999998,2,4,4,10,Loyal
2553.0,212,2,1323.46,2,2,4,8,Potential
2554.0,266,3,683.99,2,3,3,8,Potential
2555.0,232,4,1801.08,2,4,5,11,Loyal
2556.0,110,4,861.49,4,4,3,11,Loyal
2557.0,196,2,273.21999999999997,3,2,1,6,At Risk
2558.0,176,11,2733.29,3,5,5,13,VIP Champions
2559.0,119,3,465.48,4,3,2,9,Potential
2561.0,105,5,794.34,4,5,3,12,Loyal
2563.0,77,4,772.9200000000001,4,4,3,11,Loyal
2564.0,33,6,994.52,5,5,4,14,VIP Champions
2565.0,31,1,35.94,5,1,1,7,Potential
2566.0,71,3,337.40999999999997,4,3,1,8,Potential
2567.0,133,3,1072.28,3,3,4,10,Loyal
2569.0,246,1,331.59,2,1,1,4,At Risk
2570.0,89,2,625.5,4,2,2,8,Potential
2572.0,57,4,1380.03,5,4,4,13,VIP Champions
2574.0,415,3,1315.6399999999999,1,3,4,8,Potential
2575.0,165,2,996.84,3,2,4,9,Potential
2576.0,200,1,301.97,3,1,1,5,At Risk
2577.0,68,5,1307.73,4,5,4,13,VIP Champions
2578.0,305,3,1054.88,2,3,4,9,Potential
2579.0,192,3,1197.24,3,3,4,10,Loyal
2580.0,68,4,706.78,4,4,3,11,Loyal
2581.0,167,2,504.93,3,2,2,7,Potential
2583.0,121,1,562.38,4,1,2,7,Potential
2585.0,424,3,649.45,1,3,3,7,Potential
2586.0,78,2,283.45000000000005,4,2,1,7,Potential
2588.0,145,3,871.94,3,3,3,9,Potential
2589.0,150,2,803.56,3,2,3,8,Potential
2590.0,220,1,564.58,2,1,2,5,At Risk
2591.0,197,2,385.15999999999997,3,2,2,7,Potential
2592.0,93,3,998.67,4,3,4,11,Loyal
2593.0,248,2,1220.1799999999998,2,2,4,8,Potential
2594.0,336,1,184.15,1,1,1,3,Lost
2596.0,490,3,690.89,1,3,3,7,Potential
2597.0,11,5,774.86,5,5,3,13,VIP Champions
2598.0,171,3,853.62,3,3,3,9,Potential
2599.0,739,1,583.44,1,1,2,4,At Risk
2600.0,305,1,221.89,2,1,1,4,At Risk
2601.0,446,1,282.95,1,1,1,3,Lost
2602.0,354,1,351.33,1,1,2,4,At Risk
2603.0,42,4,1133.42,5,4,4,13,VIP Champions
2608.0,584,2,920.6899999999999,1,2,3,6,At Risk
2609.0,179,7,1494.74,3,5,5,13,VIP Champions
2610.0,595,2,470.85,1,2,2,5,At Risk
2611.0,16,4,1048.93,5,4,4,13,VIP Champions
2612.0,52,4,390.59000000000003,5,4,2,11,Loyal
2613.0,486,4,1198.8000000000002,1,4,4,9,Potential
